Date,Price,Open,High,Low,Vol.,Change %
6/10/2011,859.00,859.00,859.00,859.00,0.03K,0.00%
6/9/2011,859.00,859.00,859.00,859.00,0.01K,-3.27%
6/3/2011,888.00,888.00,888.00,888.00,0.00K,4.47%
5/27/2011,850.00,850.00,850.00,850.00,0.00K,-1.96%
5/20/2011,867.00,867.00,867.00,867.00,0.03K,1.52%
5/18/2011,854.00,854.00,854.00,854.00,0.02K,5.82%
5/13/2011,807.00,856.00,856.00,807.00,0.06K,-5.94%
5/9/2011,858.00,858.00,858.00,858.00,0.20K,5.67%
5/6/2011,812.00,812.00,812.00,812.00,0.01K,-5.47%
5/4/2011,859.00,859.00,859.00,811.00,0.05K,0.47%
4/29/2011,855.00,810.00,859.00,810.00,0.90K,-0.58%
4/28/2011,860.00,824.00,860.00,820.00,0.12K,-0.23%
4/22/2011,862.00,850.00,862.00,820.00,5.71K,1.41%
4/20/2011,850.00,850.00,850.00,850.00,0.01K,-1.73%
4/18/2011,865.00,867.00,867.00,850.00,0.03K,-0.46%
4/13/2011,869.00,835.00,869.00,835.00,0.22K,0.00%
4/12/2011,869.00,831.00,869.00,831.00,0.01K,-1.14%
4/7/2011,879.00,835.00,879.00,835.00,0.16K,-1.01%
3/25/2011,888.00,888.00,888.00,888.00,0.01K,0.00%
3/22/2011,888.00,836.00,888.00,836.00,0.01K,-0.11%
3/18/2011,889.00,851.00,889.00,850.00,0.21K,4.59%
3/15/2011,850.00,850.00,850.00,846.00,1.77K,0.00%
3/14/2011,850.00,861.00,861.00,845.00,1.17K,-3.41%
3/11/2011,880.00,890.00,890.00,880.00,5.03K,-2.65%
3/10/2011,904.00,904.00,904.00,904.00,1.15K,0.00%
3/9/2011,904.00,904.00,904.00,904.00,0.01K,-0.22%
3/7/2011,906.00,905.00,906.00,905.00,6.04K,-2.05%
3/4/2011,925.00,906.00,925.00,906.00,0.01K,2.10%
3/3/2011,906.00,906.00,906.00,906.00,1.04K,0.00%
3/2/2011,906.00,906.00,906.00,906.00,2.50K,0.00%
3/1/2011,906.00,905.00,906.00,905.00,1.71K,0.11%
2/28/2011,905.00,905.00,905.00,905.00,0.06K,-2.16%
2/24/2011,925.00,905.00,925.00,865.00,0.60K,1.65%
2/23/2011,910.00,877.00,910.00,877.00,0.06K,-2.05%
2/21/2011,929.00,905.00,929.00,905.00,0.16K,0.98%
2/15/2011,920.00,920.00,920.00,920.00,5.00K,1.10%
2/14/2011,910.00,905.00,910.00,905.00,0.02K,-0.76%
2/10/2011,917.00,917.00,917.00,917.00,2.40K,0.00%
2/9/2011,917.00,907.00,917.00,907.00,0.02K,0.00%
2/8/2011,917.00,920.00,930.00,905.00,2.08K,1.89%
2/4/2011,900.00,930.00,930.00,900.00,5.35K,-2.70%
2/2/2011,925.00,890.00,925.00,890.00,0.03K,2.78%
1/28/2011,900.00,900.00,900.00,900.00,0.11K,-1.10%
1/25/2011,910.00,910.00,910.00,910.00,0.13K,1.11%
1/24/2011,900.00,900.00,900.00,900.00,0.18K,0.00%
1/21/2011,900.00,900.00,900.00,900.00,0.70K,-1.10%
1/13/2011,910.00,910.00,910.00,910.00,0.50K,0.00%
1/6/2011,910.00,930.00,930.00,910.00,2.01K,1.11%
1/5/2011,900.00,909.00,910.00,900.00,16.01K,1.12%
1/4/2011,890.00,890.00,890.00,890.00,0.13K,-1.66%
12/31/2010,905.00,852.00,905.00,851.00,0.19K,0.33%
12/30/2010,902.00,902.00,902.00,902.00,0.00K,5.99%
12/29/2010,851.00,880.00,880.00,851.00,0.05K,-3.30%
12/28/2010,880.00,880.00,880.00,880.00,0.01K,0.00%
12/27/2010,880.00,880.00,880.00,880.00,0.03K,0.80%
12/23/2010,873.00,872.00,873.00,872.00,0.74K,-1.91%
12/21/2010,890.00,890.00,890.00,890.00,0.02K,0.00%
12/16/2010,890.00,890.00,890.00,890.00,0.01K,-0.78%
12/10/2010,897.00,900.00,900.00,896.00,1.21K,-0.44%
12/9/2010,901.00,901.00,901.00,901.00,0.05K,-1.96%
12/8/2010,919.00,919.00,919.00,918.00,0.43K,-2.23%
12/3/2010,940.00,940.00,940.00,940.00,0.18K,2.17%
12/2/2010,920.00,914.00,920.00,914.00,0.12K,4.55%
12/1/2010,880.00,880.00,880.00,880.00,0.03K,1.03%
11/30/2010,871.00,871.00,871.00,871.00,0.02K,-4.81%
11/25/2010,915.00,872.00,915.00,872.00,0.01K,-0.22%
11/23/2010,917.00,917.00,917.00,917.00,0.00K,5.16%
11/22/2010,872.00,872.00,872.00,872.00,0.00K,-4.80%
11/16/2010,916.00,916.00,916.00,916.00,0.02K,-0.33%
11/12/2010,919.00,919.00,919.00,919.00,0.05K,1.55%
11/10/2010,905.00,873.00,905.00,873.00,0.04K,4.02%
11/9/2010,870.00,900.00,900.00,870.00,6.65K,-4.40%
11/8/2010,910.00,890.00,910.00,890.00,0.47K,1.11%
11/5/2010,900.00,900.00,900.00,900.00,0.13K,0.00%
11/3/2010,900.00,900.00,900.00,900.00,0.02K,0.00%
11/2/2010,900.00,900.00,900.00,900.00,0.05K,-0.11%
10/29/2010,901.00,900.00,901.00,900.00,1.30K,0.11%
10/28/2010,900.00,900.00,900.00,900.00,0.41K,0.00%
10/27/2010,900.00,900.00,900.00,900.00,0.18K,0.00%
10/26/2010,900.00,900.00,900.00,900.00,0.00K,0.00%
10/25/2010,900.00,899.00,900.00,850.00,0.14K,0.00%
10/22/2010,900.00,870.00,900.00,870.00,0.22K,0.00%
10/21/2010,900.00,880.00,900.00,880.00,5.23K,2.27%
10/20/2010,880.00,857.00,880.00,857.00,10.03K,2.92%
10/19/2010,855.00,855.00,855.00,855.00,0.01K,-3.06%
10/18/2010,882.00,882.00,882.00,882.00,0.01K,1.38%
10/15/2010,870.00,865.00,870.00,855.00,45.05K,5.20%
10/14/2010,827.00,827.00,827.00,827.00,0.06K,-5.05%
10/13/2010,871.00,871.00,871.00,871.00,0.30K,12.24%
10/8/2010,776.00,776.00,776.00,776.00,0.00K,-4.20%
9/29/2010,810.00,810.00,810.00,810.00,0.11K,0.00%
9/28/2010,810.00,810.00,810.00,810.00,2.08K,3.18%
9/27/2010,785.00,785.00,785.00,785.00,0.15K,-3.09%
9/21/2010,810.00,810.00,810.00,810.00,0.23K,0.00%
9/15/2010,810.00,810.00,810.00,810.00,0.24K,0.00%
9/14/2010,810.00,810.00,810.00,810.00,0.60K,0.00%
9/13/2010,810.00,813.00,813.00,810.00,0.03K,-0.37%
9/8/2010,813.00,813.00,813.00,813.00,2.30K,0.00%
9/2/2010,813.00,813.00,813.00,813.00,0.13K,0.49%
9/1/2010,809.00,809.00,809.00,809.00,0.00K,-5.93%
8/31/2010,860.00,860.00,860.00,860.00,0.02K,0.82%
8/30/2010,853.00,853.00,853.00,853.00,0.00K,5.96%
8/27/2010,805.00,805.00,805.00,805.00,0.40K,0.63%
8/24/2010,800.00,800.00,800.00,800.00,0.01K,-1.23%
8/18/2010,810.00,810.00,810.00,810.00,1.26K,0.87%
8/12/2010,803.00,804.00,804.00,803.00,1.35K,-0.25%
8/5/2010,805.00,805.00,805.00,805.00,0.10K,-5.63%
7/26/2010,853.00,864.00,864.00,853.00,1.32K,-1.16%
7/22/2010,863.00,863.00,863.00,863.00,0.65K,3.48%
7/14/2010,834.00,834.00,834.00,834.00,0.52K,-4.03%
7/12/2010,869.00,860.00,869.00,835.00,0.16K,4.32%
7/7/2010,833.00,833.00,833.00,833.00,0.02K,0.00%
7/1/2010,833.00,833.00,833.00,833.00,0.02K,3.35%
6/30/2010,806.00,806.00,806.00,806.00,0.04K,-3.47%
6/22/2010,835.00,835.00,835.00,835.00,0.06K,0.00%
6/18/2010,835.00,835.00,835.00,835.00,0.05K,0.00%
6/17/2010,835.00,840.00,840.00,835.00,0.02K,0.00%
6/16/2010,835.00,835.00,835.00,835.00,0.28K,-4.02%
6/15/2010,870.00,870.00,870.00,870.00,0.01K,-1.47%
6/11/2010,883.00,880.00,883.00,880.00,0.09K,2.56%
6/10/2010,861.00,875.00,879.00,861.00,0.22K,0.47%
6/9/2010,857.00,870.00,870.00,857.00,0.02K,-2.39%
6/8/2010,878.00,878.00,878.00,878.00,0.00K,2.93%
6/4/2010,853.00,853.00,857.00,853.00,0.26K,-3.40%
6/3/2010,883.00,883.00,883.00,883.00,0.00K,0.34%
6/1/2010,880.00,885.00,885.00,880.00,0.08K,0.11%
5/28/2010,879.00,879.00,880.00,879.00,5.03K,0.00%
5/27/2010,879.00,879.00,879.00,879.00,0.00K,-0.11%
5/26/2010,880.00,880.00,880.00,880.00,0.01K,0.00%
