"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2013","191.50","191.50","191.50","191.50","5.00K","0.00%"
"04/04/2013","191.50","191.50","191.90","191.50","20.57K","-0.78%"
"04/03/2013","193.00","192.00","193.00","192.00","3.89K","0.52%"
"04/02/2013","192.00","191.00","192.00","190.00","1.20K","0.42%"
"04/01/2013","191.20","191.20","191.20","191.20","0.84K","-0.42%"
"03/29/2013","192.00","191.50","192.00","191.50","17.18K","0.00%"
"03/28/2013","192.00","190.00","192.00","188.00","4.53K","1.05%"
"03/27/2013","190.00","188.90","190.00","188.90","4.52K","0.58%"
"03/26/2013","188.90","190.00","190.00","186.05","26.79K","-0.53%"
"03/25/2013","189.90","190.00","190.00","189.90","31.07K","-0.58%"
"03/22/2013","191.00","191.00","191.00","191.00","4.37K","-0.26%"
"03/21/2013","191.50","191.00","191.50","187.25","16.47K","0.00%"
"03/20/2013","191.50","191.00","191.50","191.00","4.36K","0.00%"
"03/19/2013","191.50","191.00","191.50","191.00","26.32K","0.26%"
"03/18/2013","191.00","191.00","191.00","191.00","2.66K","-0.21%"
"03/15/2013","191.40","191.00","191.40","191.00","11.09K","-0.03%"
"03/14/2013","191.45","191.00","191.45","191.00","72.83K","-0.03%"
"03/13/2013","191.50","191.00","191.50","191.00","13.00K","0.00%"
"03/12/2013","191.50","191.00","191.50","191.00","1.79K","0.00%"
"03/11/2013","191.50","191.00","191.50","183.00","11.14K","0.26%"
"03/08/2013","191.00","191.00","191.50","191.00","37.79K","0.00%"
"03/07/2013","191.00","191.00","191.00","191.00","9.75K","0.00%"
"03/06/2013","191.00","191.30","191.30","191.00","19.30K","-0.16%"
"03/05/2013","191.30","190.50","191.50","190.50","20.93K","0.42%"
"03/04/2013","190.50","190.50","190.95","190.50","8.23K","0.00%"
"03/01/2013","190.50","191.00","191.00","189.00","20.87K","-0.26%"
"02/28/2013","191.00","191.30","191.30","191.00","22.02K","-0.16%"
"02/27/2013","191.30","191.50","191.50","190.00","12.73K","-0.10%"
"02/26/2013","191.50","191.50","191.50","191.50","6.00K","0.00%"
"02/25/2013","191.50","191.50","193.00","191.50","22.59K","0.00%"
"02/22/2013","191.50","191.50","191.50","191.50","64.09K","0.00%"
"02/21/2013","191.50","190.00","191.50","190.00","22.91K","-0.52%"
"02/20/2013","192.50","191.00","192.50","191.00","28.08K","0.79%"
"02/19/2013","191.00","192.00","192.00","191.00","3.87K","-0.98%"
"02/18/2013","192.90","190.00","192.90","190.00","2.62K","0.42%"
"02/15/2013","192.10","193.00","193.00","191.00","64.24K","-0.93%"
"02/14/2013","193.90","193.00","193.90","193.00","38.05K","0.36%"
"02/13/2013","193.20","193.00","193.20","192.00","11.02K","-0.41%"
"02/12/2013","194.00","190.00","194.00","190.00","17.66K","0.00%"
"02/11/2013","194.00","190.00","194.90","190.00","0.81K","2.11%"
"02/08/2013","190.00","190.00","193.80","190.00","8.63K","0.00%"
"02/07/2013","190.00","191.00","193.80","189.05","12.15K","-1.96%"
"02/06/2013","193.80","190.00","193.80","190.00","3.53K","0.00%"
"02/05/2013","193.80","187.50","193.80","187.50","0.87K","2.54%"
"02/04/2013","189.00","189.00","189.00","189.00","1.43K","0.27%"
"02/01/2013","188.50","188.00","193.90","188.00","1.68K","0.75%"
"01/31/2013","187.10","190.00","190.00","187.10","5.59K","0.05%"
"01/30/2013","187.00","190.05","194.00","187.00","3.23K","-3.61%"
"01/29/2013","194.00","190.00","195.00","190.00","62.11K","-0.51%"
"01/28/2013","195.00","187.00","195.00","186.00","33.80K","4.84%"
"01/23/2013","186.00","185.80","186.00","182.00","22.27K","0.00%"
"01/22/2013","186.00","182.15","186.00","182.15","1.93K","0.05%"
"01/21/2013","185.90","182.00","185.90","179.00","2.65K","0.22%"
"01/18/2013","185.50","182.00","185.90","181.00","31.20K","1.92%"
